episodes,success_rates,collision_rates,warning_rates,phys_losses,perf_losses,intruder_losses,knowledge_bank_size
0,1.0,0.0,0.0,0.042995426803827286,0.07730068368509235,-0.010743956081569195,27086
1,0.15384615384615385,0.038461538461538464,0.8076923076923077,0.06568926634887855,-1.8945171932379405,0.006923439912497997,27112
2,0.125,0.0625,0.8125,0.02600785717368126,-1.9235680103302002,-0.008498153649270535,27128
3,0.5263157894736842,0.0,0.47368421052631576,0.15091717739899954,0.08199967015943255,0.006598246283829212,27147
4,0.21428571428571427,0.07142857142857142,0.7142857142857143,0.35082176327705383,-0.12396070635423297,-0.0017506694421172142,27161
5,0.5,0.0,0.5,0.03234170377254486,-0.06700658756459713,-0.0002100210404023528,27167
6,1.0,0.0,0.0,0.024467862211167812,0.10460100332235941,0.00934880692511797,27181
7,1.0,0.0,0.0,0.0,0.0,0.00822779443114996,27185
8,0.5,0.0,0.5,0.03421545773744583,-0.49681389331817627,-0.012955205515027046,27205
9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06812889315187931,-0.5738644125002539,-0.002974626375362277,27220
10,0.17647058823529413,0.17647058823529413,0.6470588235294118,0.029302363097667695,-1.0358896425561928,-0.0009842617437243462,27237
11,0.9090909090909091,0.0,0.09090909090909091,0.1123918816447258,0.4052191143452961,0.005315764807164669,27248
12,0.7272727272727273,0.12121212121212122,0.15151515151515152,0.04700267612934113,-11.081780428038751,0.006093919742852449,27281
13,0.5384615384615384,0.038461538461538464,0.4230769230769231,0.0920413606800139,-0.2763936969386796,0.01391951460391283,27307
14,0.68,0.04,0.28,0.04148168613513311,-0.8524999233583609,0.0010689470218494534,27332
15,0.6,0.0,0.4,0.12975373677909374,-0.3424302407718396,-0.009485847316682339,27362
16,0.8181818181818182,0.0,0.18181818181818182,0.054919456442197166,0.09886006025827576,0.01063002273440361,27384
17,0.9761904761904762,0.0,0.023809523809523808,0.05759389325976372,0.25140870213295063,0.00031970650888979435,27426
18,0.8666666666666667,0.0,0.13333333333333333,0.0,0.0,-0.006652817130088806,27471
19,0.5882352941176471,0.0392156862745098,0.37254901960784315,0.033328394095102944,-1.0550880894685786,-0.0015855625970289111,27522
20,0.8125,0.041666666666666664,0.14583333333333334,0.04459364898502827,-0.39126872512396466,0.0010707266628742218,27570
21,0.6842105263157895,0.07894736842105263,0.23684210526315788,0.06285465322434902,-12.035043396055698,-0.009408305399119854,27608
22,0.8627450980392157,0.0,0.13725490196078433,0.0765383392572403,-0.03042122907430116,-0.02263275720179081,27659
23,0.7428571428571429,0.08571428571428572,0.17142857142857143,0.05340706401815017,-3.373145261343771,-0.010497761890292168,27694
24,0.9135802469135802,0.0,0.08641975308641975,0.33226824800173443,0.06547633357602613,0.004401620477437973,27775
25,0.6956521739130435,0.043478260869565216,0.2608695652173913,0.06276365648955107,0.0390370421961949,-0.0018515052506700158,27798
26,0.6,0.15,0.25,0.11478014104068279,-8.031162722989135,-0.007852606475353241,27818
27,0.9166666666666666,0.0,0.08333333333333333,0.03338606655597687,0.06902589636330614,0.016253123059868813,27842
28,0.8809523809523809,0.0,0.11904761904761904,0.030427880585193634,-0.1750180572271347,0.0026080813258886337,27884
29,0.9666666666666667,0.0,0.03333333333333333,0.0,0.0,0.012078061699867249,27914
30,0.9142857142857143,0.0,0.08571428571428572,0.03158596158027649,-0.013392642140388489,-0.0036824916023761034,27949
31,0.8108108108108109,0.02702702702702703,0.16216216216216217,0.040082648396492004,-1.1411918252706528,-0.026167122647166252,27986
32,1.0,0.0,0.0,0.029541811905801296,0.34746678956296234,-0.01790102943778038,28015
33,0.7111111111111111,0.13333333333333333,0.15555555555555556,0.10469273570924997,-6.830476719848323,-0.00046942263725213706,28059
34,0.78125,0.0625,0.15625,0.0,0.0,-0.010015937499701977,28091
35,0.9230769230769231,0.019230769230769232,0.057692307692307696,0.026560596500833828,-7.208728861069441,0.011380319483578205,28143
36,0.9375,0.0,0.0625,0.36648887395858765,0.06025702292461399,0.01318152155727148,28223
37,0.8059701492537313,0.05970149253731343,0.13432835820895522,0.04082696065306664,-0.3026183252418566,-0.0017005237750709057,28290
38,0.868421052631579,0.0,0.13157894736842105,0.02599957063794136,-0.007305092090809326,0.007157538086175919,28328
39,1.0,0.0,0.0,0.10001256316900253,0.24844736721453684,0.006194266024976969,28354
40,1.0,0.0,0.0,0.19623778387904167,0.14872095472628244,0.015740282833576202,28403
41,0.7090909090909091,0.03636363636363636,0.2545454545454545,0.02535336712996165,-1.0943815894424915,-0.013808613643050194,28458
42,0.896551724137931,0.0,0.10344827586206896,0.0644998550415039,0.29998577243127056,0.019439512863755226,28487
